	CFS: CD4 (S2,S4,S6) - TA (S1,S3,S5) - Healthy: CD4 (S8) - TA (S7)
FGF2	-0.0399241000000001
NINL	-0.03989579999999998
MIPOL1	-0.039839999999999876
SATL1	-0.03976999999999997
SPAG1	-0.0397287999999999
OOSP4B	-0.039684
OR5AN1	-0.0396531
EVPL	-0.03962410000000005
EIF2S3B	-0.039608700000000004
EBF2	-0.0396083
PLA2G7	-0.03957699851374
GABRE	-0.03949899999999995
LAMC2	-0.0394488
TMEM144	-0.0393022699999999
PKNOX2	-0.039300299999999996
CDC42BPG	-0.0392002
KIF21B	-0.039169997549040936
GJA9	-0.0389919
ITPRID1	-0.038856239999999986
DCLK3	-0.038845710000000006
TP53TG3	-0.0386597
PURG	-0.0386448
RHCG	-0.0385331
ZBTB7C	-0.038493
GRHL2	-0.03847890000000001
SPINK13	-0.0381709
PGBD1	-0.03815799999999997
KCNQ5	-0.037950861000000224
NFAM1	-0.03794029999999999
ELOVL7	-0.03773291000000001
C17orf78	-0.03764809999999999
NBPF6	-0.0376437
METTL7A	-0.037406000000000494
DTWD2	-0.037400660000000086
NXPE1	-0.0373837
NPIPA3	-0.037326200000000004
VSIG10L	-0.03698370000000001
CYP26C1	-0.0369338
ANKRD62	-0.0367576
SLC15A1	-0.036608
UPK3B	-0.03652653078000018
DAGLB	-0.03651549100000029
SERINC4	-0.03649429999999998
GSG1	-0.03641600000000003
LPAR4	-0.036379200000000014
NACC1	-0.0362376
ESR1	-0.036171100000000234
HRG	-0.03607339999999995
COL2A1	-0.03604023
SCRG1	-0.0358206
NAALADL2	-0.035692839999999997
TNFSF15	-0.03568400000000001
ZFHX3	-0.03563060000000001
DHDH	-0.03559500000000004
SVOPL	-0.03556715
ZNF534	-0.0355553
PLIN4	-0.03552970000000001
CPA4	-0.035395699999999995
RADIL	-0.0352546
ATP2B2	-0.035133029999999996
ZPLD1	-0.0351318
IQUB	-0.034767400000000004
HEY2	-0.0347043
GOLGA8K	-0.0346902
OR2A42	-0.03462069999999999
DLL3	-0.0346205
PCDH19	-0.03432275
LPIN3	-0.03413268999999999
INHBE	-0.033808599999999994
SCN11A	-0.033745
VPS13A	-0.033655214938900446
CCDC68	-0.03353159999999998
ATP1B4	-0.0335066
SPDYE11	-0.03345199999999998
SPDYE8	-0.03345199999999998
CSNK2A2	-0.03337600000000002
CNTNAP5	-0.03321048
CYP2A7	-0.0332007
MTMR7	-0.03317739999999997
OR56B4	-0.0331134
FOXP2	-0.033069109999999846
TBX6	-0.03305543409999995
OR2AK2	-0.033046
ITGBL1	-0.0330022
ZNF384	-0.03299200011702652
CHIA	-0.03294
ALDH3B1	-0.03287689999999999
ABCA13	-0.03233485999999989
TBC1D3D	-0.03226200000000001
AFMID	-0.03206140000000013
CDT1	-0.0320479
CLEC17A	-0.03204190000000001
CDK11B	-0.03203283399999535
PLAAT3	-0.032031018999999716
COL5A1	-0.032002055774999996
WFDC10B	-0.031861
GUCY1B1	-0.031809000000000004
SYT12	-0.03164699999999998
TRIOBP	-0.031499000000000166
ZNF541	-0.031480149525
ING5	-0.031462000000004764
OR1F1	-0.031401999999999985
GEMIN5	-0.03133
DCX	-0.03125941
NCAN	-0.0312087
ANKRD50	-0.0311105
EBF1	-0.031055899999999997
PRR27	-0.0309778
SUGCT	-0.030754
REELD1	-0.030661100000000024
MAOA	-0.0304337
GLYAT	-0.03033119999999999
ZNF660	-0.030053399999999966
PFKFB2	-0.029779699999999965
KLF10	-0.029666700000000004
KPNA4	-0.029583999999999944
SYT14	-0.0295149
OR52I2	-0.029514600000000005
CTNNA2	-0.029496899999999996
FADS3	-0.029217996607919794
PRH2	-0.029195800000000008
CLGN	-0.0291535
CLSTN2	-0.029037660000000003
GNA11	-0.02900408199999971
RASGRF1	-0.028999000000000004
PDZD2	-0.028925709999999993
DOK7	-0.028911299999999997
FCRL1	-0.028827800000000015
IL31RA	-0.0288135
TUBB2A	-0.028807000000000138
GPR1	-0.028752
DDX3Y	-0.028687300000000002
SKOR1	-0.02844828369
PPARGC1A	-0.02814620738023
NAA11	-0.028121599999999997
IFITM5	-0.028101999999999988
ZNF648	-0.028023
LMO1	-0.02802260000000001
SYT5	-0.0279840103
FHOD3	-0.02782
BGLAP	-0.027724
DNASE1L3	-0.027461410979400025
MFAP4	-0.02745979
SLC24A2	-0.027450300000000004
PAX6	-0.0273221000000001
ITIH3	-0.026875200000000002
SP6	-0.026857
TAX1BP3	-0.026771999999999962
EFCAB8	-0.026650700000000006
MPP3	-0.026593299999999993
RGS13	-0.026526200000000014
NLGN4Y	-0.026296759999999995
CYP3A4	-0.026260499999999992
ADCY5	-0.026088569047000104
SESN3	-0.02602479999999996
ENTPD2	-0.0258642
KCNJ3	-0.025638400000000006
C20orf194	-0.025521000000000044
CEP55	-0.025518999999999986
GLYATL2	-0.0254219
SLC13A3	-0.025298600000000115
CYP26A1	-0.0252805
UPP2	-0.025107699999999997
UGT3A1	-0.025018299999999997
IDNK	-0.025000000000000355
AKNAD1	-0.0249254
LDLRAD1	-0.024762799999999988
SYT1	-0.0247582
DUSP8	-0.02475520090749983
ESRRG	-0.02460959
MNX1	-0.0245826
PLPP7	-0.024579300000000026
EFR3B	-0.024523800000000012
KRTAP9-6	-0.0244966
TMEM163	-0.024488699999999974
MYOF	-0.024486799999999996
IL21	-0.024460989999999905
GGT6	-0.02428579999999997
SLC6A11	-0.024264600000000004
PRDM13	-0.0242352
TRPM3	-0.02420009795895011
ESPL1	-0.023727999459999982
GRIP2	-0.0236967
LILRA4	-0.02355840176326
SIX1	-0.0234554
PHF24	-0.0234278
NALCN	-0.0233538
ZNF311	-0.023261400000000043
OR1A1	-0.023249999999999882
PPIB	-0.023242000000000013
CD300LD	-0.023212999999999984
PRAMEF17	-0.0230887
KIF17	-0.02308199999999999
SLC24A5	-0.0230623
CHRND	-0.0230559
ECEL1	-0.023034
SLC6A2	-0.0229733
TMC5	-0.022957850000000092
FRMPD2	-0.022944109999999997
MYPN	-0.02289380000000002
GRIK1	-0.022893621610836995
PROM1	-0.0228187
KIR2DS5	-0.02270028
HCG22	-0.022591968
CDC45	-0.02259040000000001
SH3PXD2B	-0.0225839
LRRC18	-0.0224661
IGFBP7	-0.022323999999999955
C20orf204	-0.022307600000000094
C8orf86	-0.022228015399999995
CLK3	-0.022197997556361315
GSG1L	-0.022175600000000004
SLITRK2	-0.022161900000000002
ANGPTL6	-0.022036999999999862
SBSPON	-0.0220065
OSTN	-0.0219289
C8orf74	-0.021902699999999997
MOB3C	-0.021898199999999996
SLC17A7	-0.021847499999999992
TRDN	-0.0218027
FAM133A	-0.0217455
SHISA4	-0.021689000000000014
TXLNG	-0.021624400000000002
MEDAG	-0.0215028
ZNF536	-0.0214653
SLC17A4	-0.021265899999999997
GPLD1	-0.021213000000000037
MUC3A	-0.02103729
OR3A3	-0.02088770000000001
LEFTY2	-0.0208207
SMIM34B	-0.020802200000000007
GPATCH4	-0.020736001101006707
LPAR3	-0.020491999999999982
HOMEZ	-0.020452999999999832
SFRP4	-0.020399699999999993
DCLK2	-0.0203936
PODN	-0.0203591
UBR3	-0.020227900000000743
FGF5	-0.020221700000000002
CLIC6	-0.020170700227168
OR2AG2	-0.020145909999999996
DCAF8L2	-0.0201325
DCST2	-0.02009420000000002
SOX15	-0.020071199999999997
AGXT	-0.020038000000000014
OR12D3	-0.02002458
SYTL4	-0.019814600000000113
GCSAML	-0.0196768
ZPBP2	-0.01958329999999999
REEP6	-0.019578000000000012
DCDC2	-0.01948358
F2	-0.0193602
HNF1A	-0.019264999999999997
GALNT17	-0.01915030000000001
DKK2	-0.0190966
TIMP2	-0.019043997285089875
PEX5L	-0.019015599999999997
GPC5	-0.0188624
FLT3	-0.018762899842198
ARHGEF15	-0.018562000000000023
KDM4A	-0.018550999999999984
TMEM132B	-0.018526289999999897
OR8J3	-0.01845229
CDR2L	-0.01831816
OR5B12	-0.018225699999999997
CNTN4	-0.018059900000000004
MYH14	-0.018020999999999995
PP2D1	-0.018003000000000005
CHRD	-0.0180009
CAV1	-0.017965099999999984
MYOZ3	-0.0179599
JADE3	-0.017824800000000002
RBP7	-0.017788700000000005
STAC2	-0.01773459999999999
BICDL2	-0.0175458
GSK3B	-0.017526999999999987
TBC1D22A	-0.01743400000000328
AP1S1	-0.01741716999999987
GABRD	-0.017389000000000043
GPR85	-0.0173251
DGKG	-0.017295699999999997
MPZ	-0.01726679999999997
INPP5J	-0.01719649956000001
OR5T2	-0.0171797
MLIP	-0.01709513999999989
AR	-0.017032799999999997
CPLX4	-0.0169855
OR1C1	-0.0169258
MUC5B	-0.0168551
TOX3	-0.016755100000000002
RWDD2B	-0.01666899999999849
CADM4	-0.0165594
KIAA0319	-0.01651892
CAPN3	-0.01645380000000002
HIC2	-0.01635500000000001
VWA3B	-0.016291809999999907
FMO1	-0.01628686
TERF1	-0.016285999999998246
KIAA1210	-0.0161168
GDNF	-0.016054512000000003
SERPINA1	-0.01605100000000008
TEX38	-0.0157999
RGPD3	-0.015798999999999994
PABPC1L2A	-0.0157423
B3GALT5	-0.015699599999999998
ASB18	-0.015677999999999997
NUTM2G	-0.015670700000000023
GSDMB	-0.015483500999999844
DUSP9	-0.015460000000000002
DNMBP	-0.015452200000000003
STEAP3	-0.015196700000000004
EDNRB	-0.015162700000000001
DUOX2	-0.014925230000000001
NPHP1	-0.014923880000000056
SLC25A18	-0.0149175
FAM189A2	-0.014797089999999999
OR10A3	-0.014794800000000004
DAW1	-0.014664
TMED5	-0.014662999999991655
CA12	-0.0146125
DIPK2B	-0.0146081
CTRB1	-0.014535600000000003
GRIK2	-0.014487100000000003
UFM1	-0.014356000000002922
PLA2G4F	-0.01433282
STK32A	-0.01421906
CRYBB1	-0.014004999999999934
GRIN2A	-0.01395947
SLC12A5	-0.013817599999999985
ROPN1B	-0.0135305
EHF	-0.013479799275495113
RGN	-0.013386900000000004
CECR2	-0.013376499999999998
CFAP43	-0.013357400000000002
LPCAT3	-0.013276599999999306
SERPINF2	-0.013262984143999998
PCDH15	-0.01324317
KCNMB2	-0.01316483
USP43	-0.0131528
OR52N5	-0.013145
OR4K2	-0.0130569
CNIH2	-0.0130336
UTP14A	-0.01285100000000039
STPG2	-0.012826960000000004
RGS4	-0.0127561
SLC25A48	-0.012655299999999998
MAS1	-0.0126058
PHACTR3	-0.01242119999999998
MMP23B	-0.012395099999999992
OR8D1	-0.012360999999999914
GOLGA6A	-0.0123397
PCDH11Y	-0.012311590000000004
FOXD4L4	-0.012293499999999999
ZNF510	-0.01221400000000017
PRSS12	-0.012171219999999998
ICAM1	-0.012162499999999854
POTEB3	-0.01210416
ASGR1	-0.011869080000000115
RAX2	-0.011868100000000003
WHRN	-0.011791999999999803
GRM1	-0.011768600000000004
PPP1R9A	-0.011765040000000001
TMC2	-0.011748000000000092
PROX1	-0.011736999999999997
NRG1	-0.011701199999999995
PJVK	-0.011700299999999941
NR5A1	-0.0115862
GYPB	-0.011530749446699962
IQANK1	-0.011361100000000013
NLRP2B	-0.0113591
LIPC	-0.011262800000000406
ALDH1A2	-0.0112051
NAT16	-0.011193599999999998
TAF1L	-0.01115
ATOH8	-0.01113717
BASP1	-0.011091886279
PRLR	-0.01093516
PPL	-0.01083891289150013
OR10AC1	-0.010817400000000019
EN2	-0.0107622
EPHB2	-0.010706199999999999
CC2D2A	-0.010683499999999957
CDK15	-0.0106554
THAP10	-0.0106513
B4GALNT4	-0.010596800000000017
DESI2	-0.010393999999999792
LYPD6	-0.0103837
ZNF835	-0.010368999999999962
TRPC4AP	-0.01019999999999932
OR2A7	-0.010156099999999994
VSTM2A	-0.0101259
SGCE	-0.010070999999999941
DCHS2	-0.010042239999999994
CYP17A1	-0.009888899999999996
HAS1	-0.009883700000000079
ADGRG2	-0.009862524751100998
UTS2B	-0.009851000000000165
FAM3B	-0.009849499999999997
WIPF3	-0.00978552
SNX21	-0.009714719959200036
FXYD6	-0.009698500000000013
DIO2	-0.00964212
PARD6G	-0.00952
PRMT8	-0.009514779999999999
MOBP	-0.009411899999999987
KCNH6	-0.009405699999999906
PCDH1	-0.00939870000000001
LGALS9C	-0.009384400000000001
PCSK9	-0.00937334
DOCK4	-0.00937123699999997
OR4K13	-0.0093559
STX16	-0.009172000000003067
CDH2	-0.00911049
ALG1L	-0.009060000000000012
PLXNA1	-0.00905429
GGT5	-0.008918299999999976
MDGA2	-0.00889622
RUVBL1	-0.00874359999999852
HSPA4L	-0.008677999999999991
XKR5	-0.008462999999999998
TSGA13	-0.008023800000000001
ADGRL3	-0.00799437
PLCXD2	-0.007810599999999779
AHSA1	-0.007808999999999955
PAPPA2	-0.00773898
VSTM4	-0.007713999999999999
RBM42	-0.00753299999999868
SMARCD3	-0.0074878000000002665
GPR22	-0.007414800000000006
LZTR1	-0.0074058000000025714
EFNA4	-0.007381000000000082
TNFRSF21	-0.007368039999999998
FSCN3	-0.00734199999999996
CLDN14	-0.007318399999999999
SHROOM2	-0.0073106
CORO2A	-0.00730699999999998
MEX3D	-0.0071139999999999814
TBR1	-0.007113559999999999
FHAD1	-0.007078889999999949
EBAG9	-0.007010999999991441
OR2T7	-0.006972199999999998
SYNDIG1L	-0.006936499999999998
SLITRK4	-0.00693561
KY	-0.006790540000000001
ZNF705D	-0.00675258
M1AP	-0.006668199999999874
TTC23L	-0.006598300000000057
TNC	-0.006556300000000001
NAPEPLD	-0.00640212745999591
STUM	-0.0061131000000000015
CPT1C	-0.006063289892000334
LPO	-0.006048399999999898
PRSS37	-0.006044100000000004
CCDC17	-0.0060132999999999714
LRRC43	-0.005985699999999997
GPR142	-0.005948099999999998
ECHDC3	-0.005906781
USO1	-0.005640000000000311
OR2AG1	-0.0055771000000000015
ST8SIA5	-0.005574399999999993
RELN	-0.00557428
FAM240B	-0.005551399999999998
SHISA6	-0.00527955
KCNT1	-0.0051903500000000016
KPTN	-0.005188289000000013
SDR42E2	-0.004983499999999974
CCDC201	-0.004917280000000001
ILRUN	-0.004779999999999784
DUSP7	-0.0047653
DPY19L3	-0.00471170799999987
PRODH	-0.0045227999999999935
FAM180A	-0.004507799999999999
FRG2	-0.004478438000900101
SLC5A1	-0.004472499999999999
TTC34	-0.004466430000000077
CETP	-0.0043768000000000695
ARMC3	-0.004325599999999995
FGF9	-0.004325000000000356
WDR87	-0.00432062
GFI1B	-0.0042632000000000225
NLRP8	-0.004258299999999996
DMRT1	-0.004250799999999999
PDE7A	-0.00418000000000518
CEND1	-0.00417018
NRK	-0.0038711000000000023
AZGP1	-0.003698999999999994
TRPM6	-0.0034694089999998887
TRAF3IP1	-0.0034650000000002734
A1CF	-0.003353292085450696
THSD7A	-0.00332754
PKHD1	-0.00328761
MT1G	-0.00311744
STYK1	-0.003001599999999993
NAMPT	-0.00293511
ACAN	-0.002906799999999994
TRPM2	-0.002850699999999984
CDADC1	-0.002771999999996666
GJA10	-0.002743299999999997
ENPP3	-0.002734100000000017
KCTD16	-0.00262755
NPIPA2	-0.002468999999999999
SLC12A1	-0.0024117999999999987
MYO3B	-0.0022951700000001032
ANXA3	-0.0022799000000000083
SLIT3	-0.0022483100000000866
DYDC2	-0.0022402047679998954
CYP2C18	-0.00214463
PIH1D2	-0.002122999999999986
BPIFA3	-0.0021185000000000006
TCEAL8	-0.0020900000000008134
RPEL1	-0.002072000000000001
CGB7	-0.0020347000000000004
ESYT3	-0.0019189000000000046
PDE1A	-0.0019019199999999997
LAMB3	-0.0018522999999999734
BMP4	-0.001804013921999914
VWA5B2	-0.0017937000000000022
PPM1A	-0.00174084646199546
DISP3	-0.00169519
AKR1B15	-0.0016300000000002424
NEUROD2	-0.0016054999999999958
FLNC	-0.0015673299999999996
EGR3	-0.00153148
KLHL31	-0.00149206
MUC21	-0.0014394730000000938
PYY	-0.0013294000000000014
OR5A1	-0.0012220000000000286
SLITRK3	-0.0010144299999999993
DPEP3	-0.00100108
F3	-0.0009049000000000071
SLITRK5	-0.0007442000000000039
SSPN	-0.0007307300000000006
ADGRG4	-0.0006787799999999999
MYT1	-0.00063122
OR2C3	-0.0006267127000000004
OR8H2	-0.0005540599999999986
LGI1	-0.0004955286477000137
TPRG1L	-0.0004649999999999932
LRP2	-0.00032886000000000026
AGBL4	-0.0002843000000000012
GPX8	-0.0002604000000000044
DLX4	-0.0001957082959999079
ECT2L	-0.0001441154
DSC3	-5.5190000000000005e-05
IL17A	-2.277638e-05
KDF1	-8.84406e-06
TSPEAR	-3.59524e-06
FRG2B	-2.96517e-06
PTGIS	-7.69181e-07
NOS1	-4.833100000000001e-07
JPH3	-1.8324103000000002e-07
IGSF3	-1.6316347000000003e-07
TEAD2	-1.5984525e-07
KRT80	-1.0756989e-07
FCER2	-4.35639e-08
HSD3B7	-1.580962e-08
ARL9	-8.16182e-09
FFAR4	-8.088012e-09
LGALS7	-5.23839e-09
ZNF750	-3.43371e-09
OR4F5	-1.21931e-09
LRAT	-1.104878e-09
TMEM204	-1.07682e-09
SLC45A2	0.0
MS4A8	0.0
MS4A6E	0.0
NPY5R	0.0
NPY4R2	0.0
CCL26	0.0
C3orf84	0.0
CCL24	0.0
SLC26A9	0.0
NR0B1	0.0
SLPI	0.0
SLC26A7	0.0
CCL25	0.0
C3orf85	0.0
SLC9A2	0.0
NPHS2	0.0
SMO	0.0
NPHS1	0.0
CCN3	0.0
NPY2R	0.0
MROH5	0.0
MYBPC1	0.0
MROH2B	0.0
MROH2A	0.0
CBARP	0.0
NPSR1	0.0
NAALAD2	0.0
YBX2	0.0
CBLN2	0.0
CCL7	0.0
MRGPRF	0.0
SLC25A47	0.0
MRGPRG	0.0
MRGPRX1	0.0
NAP1L3	0.0
NPR1	0.0
WLS	0.0
MRGPRX4	0.0
CAV3	0.0
NPPC	0.0
CCM2L	0.0
SLC8A2	0.0
CCN1	0.0
CCL21	0.0
MYADML2	0.0
SMIM39	0.0
CBLN1	0.0
CCN6	0.0
CBLC	0.0
WIF1	0.0
MS4A4A	0.0
NANOG	0.0
C4orf51	0.0
SLC6A7	0.0
MS4A18	0.0
MRAP	0.0
NPY1R	0.0
SLC8A3	0.0
MS4A13	0.0
NPY	0.0
WTIP	0.0
NPY4R	0.0
MS4A12	0.0
SMLR1	0.0
SLC26A10	0.0
SLN	0.0
SLC4A1	0.0
NANOGP8	0.0
SLITRK6	0.0
MROH9	0.0
SLC7A10	0.0
NACAD	0.0
NPTX2	0.0
WT1	0.0
SMIM9	0.0
C4orf45	0.0
NPVF	0.0
WNT8A	0.0
C5orf38	0.0
CCDC188	0.0
MYL4	0.0
CCDC187	0.0
MUC7	0.0
SMAD9	0.0
MTNR1A	0.0
MTNR1B	0.0
SMAD6	0.0
MYL3	0.0
MYBPHL	0.0
CCDC195	0.0
CCDC179	0.0
CCDC175	0.0
CACNA1S	0.0
CACNA2D1	0.0
XPNPEP2	0.0
SLC66A1L	0.0
CCDC173	0.0
MYL2	0.0
CCDC172	0.0
SLC5A9	0.0
CACNG2	0.0
CCDC178	0.0
CACNG5	0.0
XAGE1B	0.0
SLCO6A1	0.0
NKX6-3	0.0
NKX6-2	0.0
NKX6-1	0.0
NKX2-5	0.0
NKX2-3	0.0
NKX2-1	0.0
CARTPT	0.0
WDR49	0.0
CAPN13	0.0
NBPF4	0.0
MUCL1	0.0
MUCL3	0.0
NKAIN3	0.0
CCDC33	0.0
WNT2	0.0
NKAIN2	0.0
NKAIN1	0.0
CASR	0.0
NCAM1	0.0
CABP2	0.0
NCAM2	0.0
CABP5	0.0
CABCOCO1	0.0
CACNG6	0.0
MYL10	0.0
NHLH2	0.0
XKR4	0.0
XKR3	0.0
CAP2	0.0
MYH13	0.0
WNT7B	0.0
SLC38A4	0.0
XIRP2	0.0
MUC2	0.0
CALML6	0.0
NEU2	0.0
CALHM4	0.0
NETO1	0.0
CAMK1G	0.0
SLC39A12	0.0
NCKAP5	0.0
CCDC134	0.0
SLIT2	0.0
XDH	0.0
SLC52A3	0.0
CAMKV	0.0
CAMP	0.0
NCMAP	0.0
MUC22	0.0
NFATC4	0.0
CALHM3	0.0
CASP5	0.0
CACNG7	0.0
MYH8	0.0
NCBP2L	0.0
WNT5A	0.0
XAGE3	0.0
MTTP	0.0
MYH4	0.0
SLC5A7	0.0
CADM2	0.0
CADM3	0.0
NEGR1	0.0
SLC35G4	0.0
SLC5A5	0.0
CADPS2	0.0
WNT6	0.0
CCDC166	0.0
MYH2	0.0
CALB2	0.0
CASKIN1	0.0
MYH15	0.0
MUC13	0.0
CALCR	0.0
SLITRK1	0.0
MYL7	0.0
CCDC63	0.0
MYLK2	0.0
NLGN1	0.0
C6orf118	0.0
WFDC6	0.0
CATSPER4	0.0
SLC6A3	0.0
MT1B	0.0
CATSPER3	0.0
CCK	0.0
MUSK	0.0
NOP10	0.0
SLC29A4	0.0
C6	0.0
SLC6A19	0.0
CAPN9	0.0
SLC6A18	0.0
SLC2A10	0.0
MT1H	0.0
WSCD1	0.0
MYOCD	0.0
MYOC	0.0
SLC9C1	0.0
MT1M	0.0
NCR3LG1	0.0
C6orf15	0.0
NAT8B	0.0
MT1A	0.0
MYORG	0.0
NPBWR2	0.0
SLC9A4	0.0
C5orf46	0.0
NPAS4	0.0
SLURP2	0.0
WFIKKN2	0.0
MSI1	0.0
MUSTN1	0.0
CCL19	0.0
SLC27A6	0.0
WFIKKN1	0.0
MSLN	0.0
NPAP1L	0.0
SMIM21	0.0
SMIM2	0.0
SMIM18	0.0
NECAB2	0.0
SLC28A3	0.0
CCL13	0.0
NAT2	0.0
CCKBR	0.0
MSX1	0.0
C5orf47	0.0
WFDC5	0.0
SLC6A5	0.0
SLC2A2	0.0
NOL4	0.0
C9orf92	0.0
SLC6A15	0.0
CCDC80	0.0
NMBR	0.0
NLRP9	0.0
MYBPH	0.0
MYBL2	0.0
CCDC73	0.0
SMC1B	0.0
SLC6A14	0.0
C9orf57	0.0
NLRP7	0.0
CA3	0.0
NLRP13	0.0
SLCO1C1	0.0
NLRP10	0.0
CA4	0.0
XAGE1A	0.0
MYMX	0.0
MYMK	0.0
NLGN4X	0.0
NECTIN4	0.0
NLRP4	0.0
CCDC83	0.0
NME5	0.0
C9orf152	0.0
SLC9C2	0.0
C6orf58	0.0
MYO3A	0.0
C7	0.0
CCER1	0.0
SLC6A17	0.0
SLCO1B3	0.0
WDR38	0.0
C7orf77	0.0
C8B	0.0
NOBOX	0.0
NMUR2	0.0
SLCO1B7	0.0
MUC5AC	0.0
NMS	0.0
NMRK2	0.0
SMCO1	0.0
NCR2	0.0
C9	0.0
SLC4A3	0.0
C9orf129	0.0
MTARC1	0.0
MTARC2	0.0
MYO7B	0.0
SLC45A3	0.0
PCDH8	0.0
C3orf56	0.0
APOL5	0.0
PPDPFL	0.0
PPFIA2	0.0
SCN4B	0.0
SCN4A	0.0
PPIAL4F	0.0
SCN10A	0.0
SCGN	0.0
APOC4	0.0
APOC2	0.0
APOBEC3A	0.0
APOBEC1	0.0
AQP1	0.0
SCGB2A2	0.0
SCGB1C2	0.0
SCGB1A1	0.0
APOA5	0.0
PPP1R17	0.0
SCG3	0.0
PPP1R1B	0.0
SCG2	0.0
APLNR	0.0
SCEL	0.0
PPP1R3A	0.0
ZNF443	0.0
SCARA3	0.0
SCGB1D1	0.0
AOX1	0.0
AQP10	0.0
AQP12B	0.0
SCYGR2	0.0
ARHGAP42	0.0
SCYGR10	0.0
ARHGAP40	0.0
ARHGAP36	0.0
SCYGR1	0.0
SCT	0.0
ZNF366	0.0
POM121L2	0.0
ZNF385D	0.0
PON1	0.0
SCNN1B	0.0
AQP12A	0.0
POPDC3	0.0
POSTN	0.0
AQP4	0.0
POTEA	0.0
POTEB	0.0
POTEB2	0.0
POTED	0.0
POTEE	0.0
POTEF	0.0
AQP2	0.0
POTEI	0.0
POTEM	0.0
POU1F1	0.0
AQP5	0.0
SCYGR3	0.0
ANXA9	0.0
ZNF474	0.0
PRDM14	0.0
ZNF488	0.0
ANO4	0.0
PRDM6	0.0
ANO3	0.0
ANO2	0.0
ANO1	0.0
ANKRD66	0.0
ANKRD65	0.0
PRG2	0.0
PRG3	0.0
SASS6	0.0
SBK2	0.0
ANKRD60	0.0
ANKRD34B	0.0
ANKRD33	0.0
ANKRD30A	0.0
ZNF521	0.0
ANKRD2	0.0
PRLH	0.0
PRLHR	0.0
PRM2	0.0
PRODH2	0.0
PROP1	0.0
SAMD5	0.0
ANGPTL8	0.0
PRIMA1	0.0
ANXA8L1	0.0
SBK3	0.0
SBSN	0.0
ANXA10	0.0
ZNF479	0.0
PPY	0.0
PRAC2	0.0
PRAMEF1	0.0
PRAMEF10	0.0
PRAMEF11	0.0
PRAMEF13	0.0
PRAMEF14	0.0
PRAMEF15	0.0
PRAMEF19	0.0
PRAMEF2	0.0
ANOS1	0.0
PRAMEF20	0.0
PRAMEF26	0.0
PRAMEF27	0.0
PRAMEF33	0.0
PRAMEF5	0.0
PRAMEF6	0.0
PRAMEF7	0.0
PRAMEF8	0.0
PRAMEF9	0.0
PRAP1	0.0
PRB1	0.0
PRB2	0.0
PRB4	0.0
PRAMEF25	0.0
SCYGR5	0.0
SCYGR6	0.0
SCYGR7	0.0
AVEN	0.0
SERPINB7	0.0
ATXN3L	0.0
SERPINB4	0.0
SERPINB3	0.0
SERPINB2	0.0
SERPINB13	0.0
SERPINB10	0.0
SERPINA9	0.0
SERPINA7	0.0
PIGR	0.0
ATP8A2	0.0
PI15	0.0
SERPINA6	0.0
SERPINA4	0.0
SERPINA3	0.0
SERPINA2	0.0
SERPINA12	0.0
ATP6V1B1	0.0
SERP2	0.0
ATP4A	0.0
ATP2B3	0.0
ATP12A	0.0
PITX2	0.0
PITX3	0.0
PKD2L1	0.0
SERPINA5	0.0
PKHD1L1	0.0
PHYHIPL	0.0
AVPR1A	0.0
PGBD5	0.0
PGC	0.0
ZIM2	0.0
PGLYRP3	0.0
PGLYRP4	0.0
BAAT	0.0
SFRP1	0.0
PGR	0.0
B4GALNT2	0.0
B3GNT7	0.0
B3GNT3	0.0
SETSIP	0.0
PHYHIP	0.0
PHF13	0.0
PHF21B	0.0
SERTM2	0.0
AXL	0.0
PHGR1	0.0
SERTAD4	0.0
AWAT2	0.0
SERPINI2	0.0
SERPING1	0.0
AWAT1	0.0
PHOX2A	0.0
PHOX2B	0.0
AVPR1B	0.0
SETD1A	0.0
ZNF214	0.0
PKN3	0.0
PKP1	0.0
PLPPR4	0.0
PLPPR5	0.0
ART4	0.0
ART1	0.0
ARSI	0.0
PLSCR5	0.0
PLVAP	0.0
ARSF	0.0
ARPP21	0.0
PMIS2	0.0
SEC14L5	0.0
SEC14L4	0.0
PLPPR3	0.0
PMP2	0.0
ZNF280A	0.0
PNLIP	0.0
PNLIPRP2	0.0
PNMA6E	0.0
PNMA8B	0.0
PNOC	0.0
ARL14EPL	0.0
ARHGEF25	0.0
SDC1	0.0
SCYGR9	0.0
ARHGDIG	0.0
SCYGR8	0.0
PMP22	0.0
PLPPR1	0.0
PLPP4	0.0
ARX	0.0
ATF6	0.0
PLA1A	0.0
PLA2G2D	0.0
PLA2G2E	0.0
PLA2G2F	0.0
PLA2R1	0.0
ASTN1	0.0
PLAC1	0.0
ASPN	0.0
PLAU	0.0
ASPA	0.0
SEMA3F	0.0
PLCH1	0.0
PLCXD3	0.0
PLCZ1	0.0
ASIP	0.0
ASIC5	0.0
PLD5	0.0
ASIC2	0.0
ASCL5	0.0
ASB5	0.0
PLEKHG7	0.0
ASB4	0.0
SELE	0.0
ASB10	0.0
SEL1L2	0.0
AS3MT	0.0
ANGPTL7	0.0
ZIC5	0.0
SALL3	0.0
ANGPTL2	0.0
ACTN3	0.0
ACTN2	0.0
ACTL9	0.0
ACTL8	0.0
ACTL6B	0.0
RNF212B	0.0
ACTC1	0.0
RNF208	0.0
