	CD4 minus TA in CFS vs CD4 minus TA in Healthy
FAM205A	0.0
MAS1L	0.0
H2AP	0.0
MEOX2	0.0
KRTAP20-1	0.0
KRTAP20-2	0.0
KRTAP20-3	0.0
KRTAP21-1	0.0
KRTAP21-2	0.0
KRTAP21-3	0.0
MFSD6L	0.0
H2AC1	0.0
GLRB	0.0
MGAM2	0.0
KRTAP22-1	0.0
C16orf82	0.0
FGFBP1	0.0
KRTAP22-2	0.0
CALCR	0.0
C10orf99	0.0
HCRTR2	0.0
KRTAP2-4	0.0
KRTAP2-3	0.0
GAB4	0.0
C16orf78	0.0
MFRP	0.0
HCG22	0.0
KRTAP19-8	0.0
FGF3	0.0
KRTAP2-1	0.0
GLRA2	0.0
H2AC15	0.0
GOLGA8S	0.0
FGF4	0.0
KCTD8	0.0
GOLGA8T	0.0
KRTAP2-2	0.0
FAM236C	0.0
FAM236D	0.0
HCN4	0.0
KRTAP19-7	0.0
CCDC182	0.0
KCNU1	0.0
KCNK16	0.0
KCNK15	0.0
FAM240C	0.0
KRTAP3-2	0.0
KRTAP3-3	0.0
KRTAP4-1	0.0
KCNJ4	0.0
KCNJ18	0.0
FGL1	0.0
KRTAP4-11	0.0
KRTAP4-2	0.0
KCNIP3	0.0
C16orf92	0.0
KCNIP1	0.0
H1-8	0.0
H2AB3	0.0
KRTAP27-1	0.0
KCNK18	0.0
KRTAP26-1	0.0
KRTAP23-1	0.0
KCNT2	0.0
KCNS3	0.0
GALP	0.0
KCNS2	0.0
GALNTL6	0.0
KRTAP24-1	0.0
MAPK4	0.0
FAM237A	0.0
MAPK15	0.0
FAM237B	0.0
KCNMB2	0.0
KRTAP25-1	0.0
FGG	0.0
KCNK4	0.0
C10orf62	0.0
MGAT4D	0.0
KRTAP4-3	0.0
KRTAP19-6	0.0
H2AC18	0.0
KRTAP10-12	0.0
KRTAP10-3	0.0
KRTAP10-4	0.0
FGB	0.0
C3orf22	0.0
GOLGA6L6	0.0
GAS2L2	0.0
KRTAP10-5	0.0
KRTAP10-6	0.0
METTL11B	0.0
KRTAP10-7	0.0
HBD	0.0
KRTAP10-8	0.0
KRTAP10-9	0.0
KRTAP11-1	0.0
KRTAP10-11	0.0
KRTAP10-10	0.0
FGA	0.0
KRTAP10-1	0.0
GOLGA6D	0.0
KRT82	0.0
KRT83	0.0
KRT84	0.0
MEPE	0.0
KRT85	0.0
CCDC179	0.0
KRTAP12-1	0.0
KRT86	0.0
GOLGA6L1	0.0
KRTAP1-1	0.0
KRTAP1-3	0.0
KIF12	0.0
MARCOL	0.0
KRTAP1-4	0.0
KRTAP1-5	0.0
KRT9	0.0
GLT1D1	0.0
KRTAP12-2	0.0
HBE1	0.0
KRTAP19-1	0.0
KERA	0.0
C3orf80	0.0
FGF19	0.0
KRTAP19-2	0.0
HCAR2	0.0
KRTAP19-3	0.0
GLT6D1	0.0
KRTAP19-4	0.0
FAM13C	0.0
KRTAP19-5	0.0
C3orf84	0.0
HCAR3	0.0
FGF21	0.0
C3orf85	0.0
HBQ1	0.0
KHDC1L	0.0
KRTAP17-1	0.0
KHDC3L	0.0
KRTAP12-4	0.0
MARCHF11	0.0
KRTAP13-1	0.0
KRTAP13-2	0.0
KRTAP13-3	0.0
FGF16	0.0
C11orf53	0.0
FGF10	0.0
FAM151A	0.0
GLYATL3	0.0
FAM236B	0.0
METTL7B	0.0
HBM	0.0
KRTAP15-1	0.0
CBLN4	0.0
GLYATL1B	0.0
KRTAP13-4	0.0
C7orf33	0.0
H4C7	0.0
LINGO1	0.0
GBX2	0.0
LRRC53	0.0
LRRC52	0.0
GFRA4	0.0
GDF3	0.0
BPY2C	0.0
HOXD9	0.0
GDF2	0.0
LRRC4C	0.0
GRIN2A	0.0
GRIN1	0.0
GRIK3	0.0
GPR87	0.0
GAL3ST3	0.0
LGI3	0.0
GPR21	0.0
FOXO6	0.0
GSTA3	0.0
GPR20	0.0
GPR88	0.0
FOXD3	0.0
GSTA5	0.0
NCKAP5	0.0
BPY2B	0.0
FAP	0.0
FOXN4	0.0
GFRA3	0.0
GPR32	0.0
BPIFA1	0.0
IHH	0.0
LGR5	0.0
ETDA	0.0
ERVV-1	0.0
BPI	0.0
ETDB	0.0
FOXL3	0.0
FOXN1	0.0
CA4	0.0
GSTA2	0.0
GPR78	0.0
FBN3	0.0
LLCFC1	0.0
HOXD3	0.0
HOXD4	0.0
BPY2	0.0
CABS1	0.0
HOXD8	0.0
IBSP	0.0
FBN2	0.0
NCBP2L	0.0
CAV3	0.0
CCDC33	0.0
GRIFIN	0.0
GRID2	0.0
HTR1E	0.0
HTR1B	0.0
HTR1A	0.0
C9	0.0
C1QL4	0.0
FRZB	0.0
LMX1A	0.0
LGALS16	0.0
GPRC6A	0.0
FOXQ1	0.0
GPRIN2	0.0
GRIA2	0.0
IL1F10	0.0
IFNL3	0.0
IL1RAPL1	0.0
IL1RAPL2	0.0
HNRNPCL4	0.0
HSPB7	0.0
GSTT2	0.0
GSTT2B	0.0
FOXB2	0.0
C1QL2	0.0
FOXA2	0.0
LMOD1	0.0
IL17F	0.0
NCR2	0.0
HTR2C	0.0
CAP2	0.0
LRRC4	0.0
LRRC3B	0.0
GC	0.0
HTRA3	0.0
HTR5A	0.0
IL13	0.0
HTR4	0.0
HTR3E	0.0
CCDC166	0.0
HTR3D	0.0
HOXD13	0.0
HPCA	0.0
IL13RA2	0.0
GDF1	0.0
CABP5	0.0
LRRC31	0.0
LMO3	0.0
LRRC30	0.0
HTR3C	0.0
FAM9A	0.0
HTR3A	0.0
FBXL7	0.0
GPR182	0.0
GABRR1	0.0
HNRNPCL3	0.0
BPIFA2	0.0
GSTA1	0.0
HOXB8	0.0
IFNA6	0.0
FOXF1	0.0
IFNA5	0.0
IFNA4	0.0
ESPNL	0.0
IGF2	0.0
IFNA21	0.0
IFNA2	0.0
NANOS2	0.0
IFNA17	0.0
IFNA16	0.0
IFNA14	0.0
IFNA13	0.0
NANOGP8	0.0
GAD2	0.0
IFNA10	0.0
IFNA1	0.0
GRXCR1	0.0
LILRA3	0.0
C9orf57	0.0
CBLN2	0.0
CAPN13	0.0
IFNA7	0.0
GPR39	0.0
LIPI	0.0
LIPF	0.0
IFNK	0.0
BPIFC	0.0
FRMPD4	0.0
FOXG1	0.0
HOXB5	0.0
IFNE	0.0
BPIFB6	0.0
INSYN2A	0.0
GSC2	0.0
LINGO2	0.0
IFNB1	0.0
GRXCR2	0.0
BPIFB4	0.0
GPR42	0.0
GPR45	0.0
NAT2	0.0
LRRIQ4	0.0
IFNA8	0.0
C1QTNF5	0.0
C1orf185	0.0
NAT8B	0.0
HOXB1	0.0
GSG1L2	0.0
NAT8L	0.0
HOXB9	0.0
LHX9	0.0
FOXI1	0.0
LHX6	0.0
HOXC8	0.0
HORMAD1	0.0
LRRC72	0.0
FBP2	0.0
HOXC9	0.0
LHX5	0.0
LHX3	0.0
LHX2	0.0
IGSF10	0.0
HOXD1	0.0
HOXD10	0.0
IGSF21	0.0
HOXD11	0.0
GPR6	0.0
FOXL1	0.0
LRRC71	0.0
IGSF23	0.0
HOXD12	0.0
LRTM2	0.0
ERVV-2	0.0
LHCGR	0.0
ID4	0.0
GPR52	0.0
GRM5	0.0
HOXC6	0.0
GPR37	0.0
IGFBP1	0.0
GRP	0.0
HOXC11	0.0
HOXC12	0.0
BPIFB3	0.0
BPIFB2	0.0
ESX1	0.0
FOXI2	0.0
HOXC13	0.0
IGFBPL1	0.0
HOXA13	0.0
GBX1	0.0
GRM8	0.0
GPR50	0.0
HOXA11	0.0
LHX8	0.0
LRRTM1	0.0
HOXC5	0.0
LRRC74A	0.0
IGFN1	0.0
LRRTM3	0.0
LRRC73	0.0
C9orf92	0.0
IGLL1	0.0
IGFL1	0.0
HNRNPCL2	0.0
LGALS13	0.0
LTF	0.0
LYPD2	0.0
HRC	0.0
GCM2	0.0
MYL7	0.0
HRCT1	0.0
LRATD1	0.0
GGTLC1	0.0
FATE1	0.0
GGTLC3	0.0
C1orf68	0.0
LRCH2	0.0
INHA	0.0
LDLRAD2	0.0
BNC1	0.0
LYPD6B	0.0
GABRG1	0.0
HRH3	0.0
GAGE12C	0.0
LYPD8	0.0
MYL4	0.0
GH2	0.0
GPR156	0.0
MYL3	0.0
ERICH2	0.0
INHBB	0.0
LPL	0.0
HR	0.0
MYMK	0.0
C8orf48	0.0
LY6G6F	0.0
LY6H	0.0
GPX5	0.0
CACNA2D1	0.0
IMPG1	0.0
LRP2	0.0
FREM1	0.0
LY6L	0.0
GAGE12H	0.0
MYLK2	0.0
BNIP5	0.0
IL20RA	0.0
LRP1B	0.0
C1QA	0.0
HSD3B2	0.0
FNDC4	0.0
HSD3B1	0.0
CAVIN2	0.0
LYPD1	0.0
GREM1	0.0
CABCOCO1	0.0
ERICH4	0.0
CACNA1S	0.0
INHBC	0.0
C8B	0.0
FAT4	0.0
LYVE1	0.0
NES	0.0
MYF6	0.0
INS	0.0
INSL5	0.0
MYF5	0.0
LYZL1	0.0
GPR149	0.0
C1orf94	0.0
INSM2	0.0
BMX	0.0
GRB14	0.0
FMOD	0.0
LYZL2	0.0
GABRD	0.0
GAGE12D	0.0
LRGUK	0.0
GPR148	0.0
LRFN5	0.0
NETO1	0.0
INSRR	0.0
LCNL1	0.0
GAGE12E	0.0
MYL2	0.0
LRIG3	0.0
MYH1	0.0
HS6ST2	0.0
C1QTNF9B	0.0
LDHAL6B	0.0
LRIT2	0.0
MYH8	0.0
MYH7	0.0
HS3ST6	0.0
LRCOL1	0.0
FNDC1	0.0
C1GALT1C1L	0.0
MYH4	0.0
CAPN6	0.0
HS3ST5	0.0
CAMP	0.0
MYH2	0.0
MYH15	0.0
HRNR	0.0
LRIT1	0.0
ERG	0.0
MYH13	0.0
C8A	0.0
LDB2	0.0
FSHB	0.0
FMR1NB	0.0
MYMX	0.0
IFNL2	0.0
CBLN1	0.0
MYOD1	0.0
LUZP4	0.0
MYOCD	0.0
HSPB3	0.0
MYOC	0.0
HMHB1	0.0
IL6	0.0
GPR17	0.0
LENEP	0.0
MYO7B	0.0
LY6D	0.0
LPA	0.0
NECAB2	0.0
FOLR3	0.0
LRRC14B	0.0
C1QTNF8	0.0
C1QC	0.0
GBA3	0.0
LRRC10B	0.0
IL36RN	0.0
HMX3	0.0
FOXR2	0.0
IL31	0.0
GSX2	0.0
IL36G	0.0
FOXS1	0.0
HPX	0.0
IL36B	0.0
HMX1	0.0
HSPB2	0.0
IL25	0.0
C1orf232	0.0
MYOG	0.0
GABRQ	0.0
GAGE2E	0.0
FOLR2	0.0
GSX1	0.0
CBARP	0.0
LURAP1L	0.0
GPT	0.0
LRRC15	0.0
HSFX4	0.0
C1QB	0.0
ETV3L	0.0
HMGCS2	0.0
FOLR1	0.0
GAGE13	0.0
CAPN9	0.0
BOD1L2	0.0
LY6G6C	0.0
GAGE12J	0.0
LY6G6D	0.0
HMGCLL1	0.0
FRAS1	0.0
HMGB4	0.0
IL21	0.0
IL34	0.0
CABP2	0.0
CAPNS2	0.0
MYO3A	0.0
GRHL3	0.0
IL22RA2	0.0
IL9	0.0
LEUTX	0.0
CATSPER4	0.0
HSPB6	0.0
FSCB	0.0
GAGE2A	0.0
IL22RA1	0.0
FAM90A26	0.0
LELP1	0.0
FOXA1	0.0
IL37	0.0
HSFY2	1.22921e-09
SLITRK4	7.026999999999945e-05
PRAMEF14	0.000130119
OMG	0.00013950000000000073
XPNPEP2	0.00014699999999998048
ASGR1	0.0001568999999999876
SYT8	0.00022859999999999894
OPN1MW2	0.000247986
DMRTC2	0.0003520000000000016
CTSV	0.0003709999999999686
SH2D4B	0.0003847000000000017
CSPG5	0.0003856865233000002
SULT1C4	0.00041100000000002246
PSAPL1	0.00046860000000000044
CHRM4	0.0005209000000000012
TMCO2	0.0005374999999999686
DSC2	0.0005595999999999986
PRPH2	0.0006136999999999948
ARHGAP28	0.0006499999999999839
HCRTR1	0.0007603999999999944
MYOZ2	0.0008116000000000009
H2BC9	0.0008920000000000039
RAB3C	0.0009446400000000001
FAT3	0.0010784999999999996
ABHD12B	0.0010912999999999617
F2	0.0010913
KCNK3	0.0011767000000000027
TEKT2	0.0011901000000000134
CCDC169	0.0012260000000000049
CHRDL1	0.0012305000000000024
PKHD1	0.0012450499999999997
FGF8	0.0013262999999999955
HOXB13	0.0013500999999999964
ZP1	0.0014943999999998958
GGT6	0.0015342000000000133
KL	0.0016662000000000066
SALL1	0.00168337
GOLGA8F	0.0017694
RAB3B	0.0017730999999999997
FOXD4L5	0.0017960000000000025
ELAVL3	0.0018143400000000002
PRKAA2	0.0019213450580000992
SLC25A21	0.0019399000000001054
HAS2	0.0019432100000000008
HTN1	0.0019500000000000628
PGA3	0.001963500000000007
PRPH	0.002021900000000007
SPAG11A	0.00204936
PIWIL1	0.002130550219999895
NWD1	0.0021444000000001018
GUCY1A2	0.00217213
BMP3	0.002181330000000002
TNFRSF8	0.0022154999999999953
RHBDL1	0.002245800000000131
SCUBE1	0.0023688000000001153
AMER2	0.0024485999999999987
CXCL5	0.002683200000000002
IQCA1L	0.002792600000000001
ECM2	0.002811299999999999
FPR2	0.002814000000000011
FSBP	0.0028399999999997316
SP7	0.0028721999999999984
RALGPS1	0.002875300000000358
SRRM4	0.0028871999999999995
OR9Q1	0.0029432999999999994
MS4A10	0.002946499999999991
GRHL2	0.0029880000000000045
B3GNT7	0.0032769999999999744
MASP1	0.003320699999999996
GRM3	0.0033470999999999987
VTCN1	0.0033606999999999995
ROBO2	0.003394000000000001
SLIT3	0.003395290000000009
TP53INP2	0.0035430000000000184
MAN1A2	0.003605400000001424
FREM2	0.0036076999999999984
ACBD7	0.0036340000000000816
SGIP1	0.003719000000000111
SLC10A4	0.003723999999999991
DLX6	0.0037875999999999986
MCF2	0.0038056300000001084
SCN2A	0.00380995
C8orf34	0.003980000000000039
VENTX	0.004026700000000001
NRSN1	0.0040595000000000075
GRIN2B	0.004108160000000001
PPP1R14D	0.0041519
CLIC6	0.004166699627507001
SLC7A2	0.004263022490857999
FLRT3	0.00436241
C2orf83	0.004399000000000042
CELF4	0.0044278000000000095
PFN4	0.004433300000000001
SPIN2A	0.0044692000000000065
PLSCR2	0.004533099999999957
PRDM6	0.004573429999999999
MGAT4C	0.004600800000000002
PALMD	0.004602599999999901
PRTG	0.00460866
ATP6V1FNB	0.004632400000000009
TPH1	0.004644399999999993
PCDH17	0.00473347
MUC16	0.004826169999999999
GNG4	0.004838324800000571
ZNF311	0.004907099999999998
GABRB2	0.00495266
QRICH2	0.004997100000000004
PCDH7	0.00508638
ABCA1	0.005117030000000002
ETFRF1	0.005287290000001832
ZBED9	0.0052922683999999665
ALDH1L1	0.005365000000000009
SYT16	0.005391400000000001
KCND1	0.005482600000000004
TRHDE	0.005553069999999997
TERT	0.0056294
WDR64	0.005639170000000027
PYGO1	0.005657700000000002
NANOG	0.005676000000000014
MNX1	0.005733300000000108
HCN1	0.005755899999999994
SMAD3	0.00583579999999273
DOC2B	0.005965399999999968
UNC5B	0.00600856
CSRP3	0.006107699999999997
CUX2	0.00611338
ZNF850	0.006150531810000026
MATN1	0.006227000000000427
MAP1LC3C	0.006264999999999993
CSRNP3	0.0063169361452
FFAR4	0.006428589295619999
HOXA7	0.006550600000000004
TMEM132C	0.006560500000000004
NEURL1	0.006568000000000018
OTOG	0.00664675
POU3F2	0.00670897
INPP5J	0.006767999999999996
COIL	0.00681200000000004
TDRD15	0.00683903
CAVIN1	0.006922000000000039
PTCHD4	0.006937899999999997
PDE3A	0.006942
ATP1A2	0.006969020000000003
RARRES2	0.0071132
ADGRG2	0.007148668216142989
AQP8	0.007162199999999997
DDX20	0.007175000000003706
FUT9	0.007263499999999999
TRIM67	0.00726993
MEP1B	0.007295209999999996
GNAI3	0.007310000000000372
GREB1L	0.007318869999999894
RHOXF2	0.007343899999999959
RAB24	0.007355699999999743
DSG3	0.007378999999999997
STOX2	0.007398190000000001
ADGRF5	0.00741908
DCDC2	0.007422400000000006
BMP8A	0.007475000000000009
KCNK17	0.0074854
BDNF	0.007495769999999999
B4GALNT1	0.00753958
GRK1	0.00765364
PLEKHA6	0.0077146
GLRA1	0.00778899999999999
FRMD7	0.007861369999999993
TRIM54	0.007869999999999999
RSPH1	0.0079213
THRB	0.007987039119725009
TRIM64B	0.00806381
IGFBP5	0.008104400000000001
KCNQ3	0.008114620000000001
ANK2	0.00817314
IL17REL	0.00823311
NEUROD4	0.00834495
KCNH5	0.008357799999999999
ONECUT3	0.008387699999999991
DDX51	0.008491600000001043
CNTN3	0.00853517
PGM5	0.008562499999999917
VPS41	0.008630116453993253
FIGN	0.00871554
ANTXR1	0.008718919999999901
ORM2	0.00880000000000003
NACAD	0.00884567
SLC22A2	0.00884825
TMLHE	0.009064999999999657
PGBD5	0.009106199999999998
ADAMTSL2	0.009113200000000043
NFASC	0.009120800000000012
MYL9	0.009160600000000005
TAS2R19	0.009253399999999967
GUSB	0.00931500000000085
DGKG	0.009392499999999995
WNT3	0.00940717999999999
NPIPB8	0.009411200000000002
KIAA2012	0.009446299999999963
CABP1	0.009494799999999994
DHRS2	0.009515049999999997
RHOD	0.009560000000000013
FGFR3	0.009569100000000004
MDGA2	0.009573800000000002
NKD2	0.009654799999999991
SEZ6L2	0.00969857
GOLGA8G	0.0097508399999999
GRIA4	0.009802700000000004
FZD1	0.00982489999999997
IMPG2	0.009874399999999992
NHS	0.009894452469999999
OR13C5	0.0099022
PNMA6F	0.00992642
PMP2	0.0101236
CLDN18	0.010186
ADAM33	0.010237500000000004
NUTM2B	0.010353708634000008
CD209	0.010436500000000008
FOXD4	0.010461900000000003
SLC5A8	0.010466449999999999
BDKRB2	0.0105336
TMPRSS6	0.01054999999999999
SNAI1	0.010569600000000005
HBEGF	0.010581689999999894
KCNH7	0.0106006
CALN1	0.010616216329999997
MID1	0.010635590000000004
PPM1E	0.01064182
CYP17A1	0.010646299999999997
MYT1	0.01068016
SLC17A8	0.0106907
SLCO2B1	0.010727800000000003
COL20A1	0.01072966
KLHDC10	0.010789999999999633
PLCL2	0.010798000000008301
SHC3	0.01084593
RNF152	0.01088598
HOATZ	0.010983099999999999
ZBTB8B	0.011003999999999986
HS6ST3	0.01105077
GUCY2C	0.0110943
TRPC5OS	0.011127499999999999
PTPRF	0.0111380999999999
KCNC3	0.011139499999999997
NR6A1	0.011176021819799993
NEURL1B	0.011203699999999997
MAOB	0.01130289999999999
KRTAP9-6	0.011469200000000002
SEC14L4	0.011475100000000016
CDH10	0.011506999999999996
RS1	0.011574699999999997
GABRA2	0.011685399999999995
APOB	0.01168759
MKX	0.0117517
NTNG1	0.011755400000000001
CALCA	0.011787099999999995
SEC14L3	0.011867799999999998
HSPA4L	0.011973999999999901
ODF3	0.0120107
MCAM	0.012014199999999864
TSNARE1	0.012050261845867993
SLC9A2	0.0120619
ASAP2	0.0121188
MEX3A	0.01216113
NGFR	0.012270500000000004
EXOC3L4	0.012316600000000011
BMPER	0.012368400000000009
RB1	0.012377399999994765
PTPN5	0.0124446
RD3	0.012478549999999998
TXLNG	0.01249069999999719
PSG9	0.012497099999999999
KRT80	0.012575808112700001
ANO5	0.0125904
LCN10	0.012603000000000003
OGDHL	0.0126821
FCRL2	0.012724900000000039
GATA2	0.0127454
B4GALT6	0.012831799999999949
NLRP11	0.012834499999999995
PCDH10	0.012848650000000001
UTY	0.012884419999999995
PGA4	0.0129432
KCNJ6	0.012954300000000002
AMER3	0.012993199999999996
NYAP2	0.013043699999999998
PPP2R2C	0.01324412
SYTL4	0.0133181
EFNB3	0.0133493
KCNJ5	0.013448500000000002
PLCB4	0.013506926779999998
LEFTY1	0.013515499999999986
RSAD1	0.013528999999991242
GDF6	0.01355029
WFDC8	0.013604600000000001
LGI4	0.0136092
EPOP	0.013681539999999999
POU4F2	0.0136985
RXYLT1	0.013764100000003054
PAK6	0.013885619579369957
HOXC4	0.013988899999999999
GPD1	0.0139893
KRT23	0.014102379999999998
TMPRSS11A	0.0141247
MUC15	0.014171
MYO10	0.014178899999999994
CLEC17A	0.014203699999999986
PPM1J	0.014213700000000003
TPRX1	0.0143234
SUSD2	0.0143557999999999
ARNT2	0.014441410000000043
CADPS	0.014550399999999894
WNK4	0.014620699999999875
SIX3	0.0146924
KCNG4	0.014733499999999997
SCARA5	0.0147362
CTRL	0.01492599999999955
GCNT3	0.015013400000000121
EAF1	0.01503300000000074
UGT2B15	0.015064599999999997
PIWIL3	0.015101599999999993
RHBDL2	0.015114200000000022
ASPN	0.0152249
SOX1	0.015242
SPARCL1	0.015363600000000002
DKK2	0.0155408
GYG2	0.0155532
ADIPOQ	0.015554646651999994
P2RY13	0.0156989
CAMK2A	0.01575610000000001
HSPB8	0.0158731
TRIM72	0.015917999999999988
XKR5	0.015975600000000006
TCHH	0.015995229525723
ADAMTS14	0.01602309
S1PR3	0.01618494599999999
XDH	0.0162155
BCO1	0.0162873
CETP	0.01630029999999999
GABRR3	0.016309609999999995
ANKRD20A1	0.016328646970000082
SYT9	0.016348
ARHGAP6	0.0163711
MRAP2	0.016405400000000004
RTL3	0.0164314
CGREF1	0.016450999999999993
SVEP1	0.016556310000000005
CCDC181	0.016572400000000008
ZNF697	0.016745
IRX3	0.0167481
ZNF750	0.016866695356769996
CFAP99	0.016900300000000007
CNGB1	0.016952800000000004
RAD17	0.016962670677180824
TCF20	0.016968839999999652
SLC10A5	0.0169778
TMEM92	0.016996299999999992
GPC4	0.0170276
CORIN	0.017156670000000068
EGR2	0.017173208700000053
B3GAT1	0.017179100000000017
LRRC38	0.017282600000000002
NRG2	0.017292200000000008
NMNAT2	0.01735797
PAX4	0.0174024
FOXD2	0.017402999999999946
PGAM4	0.01749359999999997
CFAP65	0.017510799999999993
PAX1	0.017801900000000002
PSRC1	0.017823800000000167
SMIM31	0.017861000000000002
TBX3	0.0179124
ZNF804A	0.018043
CHD5	0.01812994
CCDC172	0.0181856
EGFLAM	0.0182685
SORCS1	0.01827767
TAF7L	0.0183774
TIMP3	0.0183964
PRELP	0.018487000000000003
ASB11	0.018488199999999996
KLHL33	0.018500000000000003
EFCAB13	0.018514699999999884
MCHR2	0.018598299999999998
NRK	0.018638510000000004
CD19	0.018644296055671
SLC22A3	0.018687199999999987
GLP1R	0.0187321
TAS2R42	0.0187678
KHDRBS2	0.0188241
TMPRSS11B	0.018824100000000094
HNF4A	0.019010200000000005
SLC7A4	0.019042089
SLC35F1	0.01905458
PLEKHG7	0.019074300000000002
PHEX	0.019154000000000337
RAB30	0.01920390897499935
PRKAG3	0.0192175
IRX4	0.0192801
TECRL	0.01928900000000003
ABCA4	0.0194253
GJC2	0.0196291
VWA2	0.019629600000000004
ADGRF2	0.0196601
ZMYM3	0.019663528992751367
KCNK10	0.0197964
BGN	0.0198173
TTLL10	0.019821955917199985
FPR1	0.01985259999999997
SLC45A3	0.0198965
ACRV1	0.0199259
TPK1	0.019961400000003238
PITPNM3	0.020072939999999997
THY1	0.0200838
VRTN	0.0200843
PLA2G4E	0.020168800000000004
SYT10	0.020179000000000002
KCNV2	0.0201819
MYH6	0.0202519
GFRA1	0.02030780367106
POLR1C	0.02043500000000087
ANKRD65	0.0204988
TCTE1	0.020561499999999983
ZNF385B	0.02069
CRACD	0.02069607
SLC34A3	0.0208196
MCF2L2	0.020942400000000028
TWIST1	0.0209805
P2RY2	0.0210016
PLA2R1	0.021072900000000006
CTXND1	0.02113277
C9orf50	0.0211736
PAK5	0.021200010000000002
UGT2B11	0.0212087
FGF18	0.021210800000000002
GFY	0.021275999999999996
VSIG8	0.02131299999999997
COL4A2	0.02136876
N4BP3	0.021397
TRIM60	0.021429199999999995
GPR31	0.021533
PRAME	0.0215556
TRPC5	0.0215868
KDR	0.0217856
CLDN15	0.021805749629999926
RNASE13	0.0218334
GAS1	0.021838000000000024
UNC79	0.021859460000000004
NOTO	0.021866999999999998
MTRNR2L5	0.021880999999999998
RSPH4A	0.02189582
MYOZ1	0.021951000000000002
ASB15	0.02197399
LYPD4	0.0220629
CDC42BPG	0.022067400000000015
COL6A3	0.022105054748866648
TNFSF18	0.0221278
PARD6G	0.02214759999999988
CHSY3	0.0221524
TBC1D16	0.022246114000000067
LOX	0.0223524
EIF4E1B	0.022543
GUCY1B1	0.022601269999999975
GRM1	0.0227874
LMAN1L	0.0227899
RAPGEF3	0.022799299999999995
TNXB	0.0229842928
TMCO5A	0.022987
SCGB2B2	0.023041700000000054
RTP5	0.0231226
GPATCH2	0.023187000000000957
ELOVL7	0.0232268
SKOR1	0.023257444809999996
FEZF2	0.0232619
DRD3	0.023329999999999962
SPATA4	0.023385000000000017
CFI	0.02355220000000001
OSMR	0.023565699999999995
FZD4	0.02375440000000001
BMP2	0.0237563
SLC16A8	0.0238041
CCDC168	0.024022820000000004
MYH14	0.024340600000000004
RND3	0.0244584
NFIB	0.024473170000000002
NRTN	0.024491999999999847
ESRRB	0.0245479
PRH2	0.02457000000000001
KDM4E	0.024571700000000002
LDHAL6A	0.024655300312375006
COL14A1	0.02469014
PRUNE2	0.02469159999999998
THBS2	0.024854299999999996
BTBD17	0.0248616
SIGLEC1	0.0249159
AQP10	0.0250753
VIL1	0.0251046
NBPF4	0.0251715
HTR2A	0.0251971
PAPPA	0.025327199999999998
ADH1B	0.025434634000000098
KCNC1	0.025534
GPR157	0.025668000000000468
ITGA9	0.025701899999999993
SPSB4	0.0258234
QSOX2	0.02583599999999997
SAMD11	0.025850799999999997
SV2B	0.026041382639999992
TARM1	0.02610079896302
KNG1	0.0262179
SEC16B	0.0262422
CHST6	0.02625719999999998
CHRDL2	0.0263532
LRRCC1	0.026407399999999193
SH2D4A	0.026444800000000046
LRTM1	0.02653240000000001
LRRC10	0.026537000000000005
IFNL4	0.026555699999999988
CCNA1	0.0265761
UMODL1	0.026578398132909964
SEMA3B	0.026648799999999997
RFPL1	0.026650499999999994
TREM1	0.0267326
ARSF	0.026770399999999993
CEP44	0.02681470000000097
ZNF878	0.0269468
NPAP1	0.026959099999999986
AURKC	0.02698920551606998
CAGE1	0.0270062
SDR16C5	0.027062431999999893
ACTL7A	0.0271116
RAB3D	0.027120000000000033
DZIP1	0.027130982514999992
MGP	0.027159299999999997
TUBB2B	0.027194151999999916
FOXL2NB	0.02720700000000001
ARSI	0.0272416
POU1F1	0.027243600000000003
SLC5A12	0.027297000000000016
COL6A6	0.02732215
SH3RF1	0.0273227
PCP4L1	0.02736
PANK3	0.027449000000000723
SLC4A4	0.027588697999999967
GPR75	0.027622
ETV2	0.02763661499999981
TAS2R13	0.02769315
CHRM2	0.027717099999999998
PRRG3	0.027798300000000012
DDX4	0.0278062
NANOS3	0.027825000000000003
DNAAF1	0.027873800000000115
BEAN1	0.02788599999999998
SHISA8	0.02800100000000002
STRA6	0.02802130000000004
DENND5B	0.02810367000000001
GLDN	0.02816626
DPP6	0.02820127000000011
LRFN2	0.028265
MS4A4A	0.0283269
AVPR2	0.0284056
SULT1C2	0.028505399999999903
UBE2QL1	0.0286156
KCTD4	0.028727700000000002
FAM167A	0.028738664999999886
FGF12	0.0288945
C1orf141	0.028939999999999994
TRIM50	0.0289437
EPHA3	0.028986699999999997
GNG3	0.029020999999999963
C1QTNF7	0.029055705103449
FAM180A	0.02927699999999999
AMIGO3	0.029386300000000032
GOLGA6L2	0.0294299
LRRC4B	0.0295694
TMEM158	0.029610700000000004
FRK	0.029749999999999943
BVES	0.029750099999999988
SPR	0.030058399999999985
AVPR1A	0.0300663
ZNF208	0.030105790000000132
PGAP4	0.0301764908
DACH2	0.0302463
MN1	0.030352370000000004
CNTNAP1	0.030432000000000237
FRG2C	0.03044072
COBL	0.030446300000000003
FRMPD1	0.030446400000000096
GJB4	0.0305068
DRAXIN	0.030527
IFITM3	0.03062200000000015
ARHGEF33	0.030666700000000074
